time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-07T02:58:20.364Z,-22.8261,172.0304,10,5,mb,,105,15.154,1.18,us,us6000df9e,2021-02-07T03:16:36.040Z,"southeast of the Loyalty Islands",earthquake,14.6,1.9,0.06,89,reviewed,us,us
2021-02-07T02:32:41.040Z,17.926,-66.836,9,2.69,md,23,197,0.0654,0.16,pr,pr2021038003,2021-02-07T03:15:10.048Z,"7 km SSW of Indios, Puerto Rico",earthquake,0.53,0.84,0.2,12,reviewed,pr,pr
2021-02-07T02:25:06.293Z,-17.1476,-174.3459,154,4.9,mb,,52,4.058,1.12,us,us6000df96,2021-02-07T02:43:41.040Z,"144 km SSW of Hihifo, Tonga",earthquake,10.1,6.9,0.032,315,reviewed,us,us
2021-02-07T01:57:19.796Z,38.1689,-118.0637,10,3,ml,,49,0.214,1,us,us6000df8z,2021-02-07T02:48:39.674Z,"24 km S of Mina, Nevada",earthquake,1.4,2,0.032,126,reviewed,us,us
2021-02-07T01:56:52.310Z,-20.7555,-177.4664,369.43,5,mb,,49,6.442,1.07,us,us6000df92,2021-02-07T02:14:45.040Z,"238 km W of Haveluloto, Tonga",earthquake,11.5,7.7,0.031,325,reviewed,us,us
2021-02-07T01:20:59.754Z,55.225,-159.1295,35,3.5,ml,,142,0.475,0.84,us,us6000df8v,2021-02-07T01:33:34.040Z,"76 km S of Perryville, Alaska",earthquake,2,2,0.069,28,reviewed,us,us
2021-02-07T00:59:49.520Z,19.1638336181641,-155.485000610352,34.310001373291,2.45,ml,55,108,,0.129999995,hv,hv72343272,2021-02-07T01:13:18.040Z,"4 km S of Pāhala, Hawaii",earthquake,0.49,0.75,3.59,21,automatic,hv,hv
2021-02-07T00:53:52.604Z,24.0081,126.0341,10,4.3,mb,,113,2.797,0.72,us,us6000df8r,2021-02-07T01:08:10.040Z,"115 km SE of Hirara, Japan",earthquake,8.8,1.9,0.129,17,reviewed,us,us
2021-02-07T00:25:47.350Z,33.2166667,-115.9745,10.02,2.54,ml,71,24,0.1618,0.26,ci,ci39543391,2021-02-07T00:37:01.180Z,"9km S of Salton City, CA",earthquake,0.26,1.19,0.156,26,automatic,ci,ci
2021-02-06T23:44:33.550Z,19.125,-64.8416,49,3.62,md,13,326,1.2496,0.41,pr,pr2021037031,2021-02-07T00:07:13.040Z,"87 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.82,16.36,0.09,8,reviewed,pr,pr
2021-02-06T23:28:52.931Z,6.7403,125.0842,16.53,4.8,mb,,81,0.59,0.7,us,us6000df87,2021-02-07T00:04:22.697Z,"11 km WSW of Magsaysay, Philippines",earthquake,6,5.1,0.086,42,reviewed,us,us
2021-02-06T23:23:04.293Z,38.1804,-118.0584,11.36,2.6,ml,,47,0.22,0.63,us,us6000df84,2021-02-06T23:32:05.040Z,"23 km S of Mina, Nevada",earthquake,1.9,8,0.04,84,reviewed,us,us
2021-02-06T23:10:16.987Z,38.1732,-118.0747,9.38,3.5,ml,,47,0.223,0.83,us,us6000df80,2021-02-07T02:33:14.642Z,"California-Nevada border region",earthquake,1.2,9.4,0.029,154,reviewed,us,us

